category,value,fragment
tone,warm,"let real affection show through, like speaking to someone you love"
tone,friendly,"smile with your voice — open, welcoming, easy to talk to"
tone,calm,"keep the breath even and unhurried, nothing to prove"
tone,soothing,slow everything down and let each word settle like a lullaby
tone,cheerful,"let a genuine lift show in the pitch, like good news just arrived"
tone,upbeat,"keep the energy bright and forward-leaning, never flat"
tone,energetic,push the pace and let enthusiasm spill past the edges of the sentence
tone,confident,land every word like you already know how this ends
tone,authoritative,speak like the room goes quiet when you start talking
tone,professional,"stay crisp and composed — no wasted emotion, fully in control"
tone,serious,strip away any lightness; every word carries real weight
tone,somber,"let heaviness settle in, as if delivering difficult news"
tone,dramatic,"swing the dynamics wide — hushed one line, full the next"
tone,intense,"coil the energy tight, like it could snap at any moment"
tone,epic,speak as if this is the line that gets carved into a monument
tone,mysterious,hold something back — let the listener lean in to catch it
tone,menacing,lower the volume and let the threat live in the restraint
tone,sinister,smile with the voice while the words turn the knife
tone,playful,"let mischief bubble under the surface, like you're about to laugh"
tone,quirky,lean into odd rhythms and unexpected emphasis — don't smooth it out
tone,sarcastic,say the opposite of what you mean and make sure they notice
tone,deadpan,keep the face and voice flat no matter how absurd the line
tone,gentle,handle every word like it might bruise
tone,wise,"slow down, as if choosing words that have been true for a long time"
tone,sensual,"let the voice linger, unhurried, low in the chest"
tone,melancholic,"let a quiet ache sit under every sentence, never overplayed"
tone,heroic,"square your shoulders in the voice — steady, brave, certain"
tone,villainous,enjoy being the bad one; let relish creep into the cruelty
timbre,deep,drop into the lowest comfortable register and stay there
timbre,low,"keep the pitch grounded, well below your natural conversational tone"
timbre,high-pitched,let the pitch ride noticeably higher than a resting voice
timbre,bright,"brighten the top of the voice, forward and lit-up"
timbre,rich,"fill out the tone with real body and overtone, not a thin read"
timbre,resonant,"let the sound ring, as if chest and throat are both vibrating"
timbre,booming,"fill the whole room — big, expansive, impossible to ignore"
timbre,smooth,iron out every rough edge; let the sound glide
timbre,velvety,"let the low notes purr, soft-edged and plush"
timbre,silky,"keep the texture fine and unbroken, gliding rather than gripping"
timbre,clear,"articulate cleanly, no mush, every consonant intact"
timbre,crisp,"snap the consonants — precise, clean-edged delivery"
timbre,soft,keep the volume gentle and the edges rounded
timbre,breathy,"let air move through the voice, half-whispered at the edges"
timbre,husky,"add a rough, worn edge, like a voice used hard the night before"
timbre,raspy,"let a dry scratch ride under the tone, not fully smoothed"
timbre,gravelly,"grind it out low and rough, like gravel underfoot"
timbre,gritty,"keep it unpolished and worn-in, texture over shine"
timbre,rough,don't smooth it — let the natural coarseness show
timbre,nasal,"push the resonance up into the nose, thinner and more pinched"
timbre,thin,"keep the tone narrow and light, without much low-end body"
timbre,light,"keep it airy and unweighted, floating rather than grounded"
timbre,robotic,"flatten the natural human inflection — even, mechanical, precise"
timbre,distorted,"let the edges fray, as if the voice is being pushed past clean"
