Archetype Name,Class,Gender,Age,Dominant Tones,Dominant Timbres,Pace,Appearance / Creature Type,Appearance Description,Recording Prompt,Voice Sample Text,Direction Note
Warm Storyteller,human,feminine,adult,"warm, friendly, gentle","rich, velvety, smooth",measured,Human — fireside storyteller,"A cozy fireside presence in a chunky knit cardigan, soft rounded features, reading glasses pushed up into greying hair — the kind of person who remembers how you take your tea.","""Come closer, and let me tell you how it really happened. The old dog nuzzled the basket of warm bread, and nobody had the heart to say no. By the time the kettle sang, we'd already forgiven each other.""","Come sit by the fire a while — I've got a story that's just waiting to be told, and it gets better every time I tell it.","Let warmth bloom on the open vowels, as if you're smiling through every sentence."
Stern Newsreader,human,masculine,middle-aged,"authoritative, serious, professional","crisp, clear, resonant",brisk,Human — broadcast anchor,"Sharp-suited anchor-desk presence, close-cropped grey hair, unblinking eye contact with the camera, chin set as level as a plumb line.","""Tonight's top story: officials confirmed the bridge closure will extend through Tuesday. Crews report steady progress, though delays remain likely during peak commuter hours. We'll have updates as the situation develops.""",Good evening. We begin tonight with breaking developments that are already reshaping the story on the ground.,Hit every consonant like a headline — no syllable allowed to blur.
Sardonic Noir Detective,human,masculine,middle-aged,"sarcastic, deadpan, serious","husky, gravelly, low",measured,Human — hardboiled detective,"Trench coat collar up, five-o'clock shadow, a cigarette that never quite gets lit, eyes that have already guessed the ending.","""Sure, the dame said she'd never seen the gun before. Sure, and the rain never falls twice on the same street corner. I'd bet my last nickel she's lying, and I never bet against a sure thing.""","Everybody in this town's got a story. Most of them are lies, and the rest are just lies that pay better.","Drag the pace half a beat behind the words, like you already know how this ends."
Energetic Hype Host,human,masculine,young-adult,"energetic, upbeat, playful","bright, crisp, light",fast,Human — livestream hype host,"Ring-light glow, backwards cap, eyebrows always mid-leap, the kind of grin that's audible before he even opens his mouth.","""Okay okay okay, are you ready for this?! Because we are about to smash the biggest giveaway of the year, and I am not exaggerating one single bit! Smash that button, drop a comment, let's GO!""","Alright, let's go, let's go, let's GO — this is the moment you've all been waiting for, and it does not disappoint!",Push the pitch up at the end of every clause like you can't wait for the next one.
Gentle Bedtime Narrator,human,feminine,adult,"soothing, calm, gentle","soft, breathy, velvety",slow,Human — bedtime-story narrator,"Dim lamplight, an oatmeal-colored cardigan, half-lidded kindly eyes over a well-worn storybook, a face pitched for a room that's already half asleep.","""The little fox curled beneath the willow tree, and the moon pulled her blanket of clouds up close. Somewhere far off, an owl hushed the wind. Sleep now; the story will still be here in the morning.""","Close your eyes now. The stars are already out, and the story will wait patiently until morning.","Let each sentence trail softly downward, like you're tucking it in."
Heroic Protagonist,human,masculine,young-adult,"heroic, confident, energetic","resonant, clear, rich",moderate,Human — fantasy/action hero,"Square-jawed, wind-tousled hair, gaze locked on a horizon past the cliff's edge, the collar of a travel-worn cloak snapping in the wind.","""We didn't come this far to fail now. Raise your shields, hold the line, and remember — every one of us chose to be here. When the gate breaks, we break it right back.""","This is the line we hold. Whatever comes next, we face it together, and we do not step back.","Let your chest lead the sound, as if you're rallying troops behind you."
Menacing Human Villain,human,masculine,middle-aged,"sinister, menacing, dramatic","gravelly, low, rough",slow,Human — cold antagonist,"Immaculate black coat buttoned to the collar, a smile that never reaches the eyes, the unhurried calm of someone waiting for you to realize you've already lost.","""You still think this is a negotiation. How charming. I've already won — I simply enjoy watching you catch up. Go on, struggle a little more; it's the only entertainment I get these days.""","You still think this ends well for you. That's the sweetest part — watching you believe it, right up until you don't.",Savor the consonants like they're a private joke only you understand.
Corporate E-Learning Guide,human,neutral,adult,"professional, friendly, confident","clear, crisp, smooth",moderate,Human — training-video presenter,"Neutral blazer, tidy desk setup, an approachable smile calibrated for a corporate training thumbnail.","""In this module, we'll cover three key steps: preparing your workspace, reviewing the checklist, and submitting your report. Take a moment to pause the video if you need to catch up. Ready? Let's continue.""","In this next module, we'll walk through the process step by step, so by the end you'll feel confident applying it yourself.","Keep the energy level and even, like a patient tour guide who's said this a hundred times but still means it."
Sassy Best Friend,human,feminine,young-adult,"playful, quirky, sarcastic","bright, light, crisp",brisk,Human — comic-relief confidante,"Oversized hoop earrings, scrunched nose mid-laugh, one eyebrow arched with zero patience for nonsense.","""Wait, you texted him WHAT at 2 a.m.? Girl. No. We are fixing this immediately, chop chop. Grab your coat, grab the good snacks, and let's go pretend this never happened.""","Okay wait, back up — you did WHAT? No, no, sit down, I need every single detail before I say a word.","Let the pitch skitter up and down like you're mid-gossip, never settling on one note."
Wise Elder Mentor,human,masculine,senior,"wise, calm, authoritative","deep, rich, resonant",measured,Human — sage mentor,"A deeply lined, weathered face, deep-set eyes that have watched several decades of other people's mistakes, a silver beard and an unhurried, knowing calm.","""Patience, child. The river doesn't rush to reach the sea; it simply never stops moving. Learn that, and the rest of what troubles you will settle on its own.""","I've made every mistake you're about to make, and a few you haven't thought of yet. Sit. Let's talk.",Let long pauses do half the work — wisdom should never sound rushed.
